taxID	Scientific_Name	superkingdom	phylum	class	order	family	genus	species_group	species
1767027	Flavobacterium suaedae	2	976	117743	200644	49546	237		1767027
1774273	Polaribacter vadi	2	976	117743	200644	49546	52959		1774273
1774945	Flavobacterium profundi	2	976	117743	200644	49546	237		1774945
1775167	Croceivirga lutea	2	976	117743	200644	49546	2039220		1775167
1784713	Flavobacterium arcticum	2	976	117743	200644	49546	237		1784713
1848189	Muricauda sp. CP2A	2	976	117743	200644	49546	111500		1848189
1848903	Capnocytophaga canis	2	976	117743	200644	49546	1016		1848903
1852019	Flavobacterium solisilvae	2	976	117743	200644	49546	237		1852019
1855336	Polaribacter sp. KT25b	2	976	117743	200644	49546	52959		1855336
1860086	Flavobacterium sp. MedPE-SWcel	2	976	117743	200644	49546	237		1860086
1862387	Flavobacterium fluviatile	2	976	117743	200644	49546	237		1862387
1882758	Flavobacterium sp. CF108	2	976	117743	200644	49546	237		1882758
1908389	Tenacibaculum agarivorans	2	976	117743	200644	49546	104267		1908389
1912138	Croceitalea sp.	2	976	117743	200644	49546	574891		1912138
1920034	Polaribacter tangerinus	2	976	117743	200644	49546	52959		1920034
1920175	Polaribacter sp.	2	976	117743	200644	49546	52959		1920175
1920426	Flavobacterium sp. ACN6	2	976	117743	200644	49546	237		1920426
1921138	Flavobacterium sufflavum	2	976	117743	200644	49546	237		1921138
1929267	Flavobacterium sp. FPG59	2	976	117743	200644	49546	237		1929267
1929488	Croceivirga radicis	2	976	117743	200644	49546	2039220		1929488
1932779	Flavobacterium undicola	2	976	117743	200644	49546	237		1932779
1937528	[Flexibacter] sp. ATCC 35103	2	976	117743	200644	49546	237		1937528
1945862	Flavobacterium sp. A45	2	976	117743	200644	49546	237		1945862
1946543	Flavobacterium sp. UBA2787	2	976	117743	200644	49546	237		1946543
1946544	Flavobacterium sp. UBA4098	2	976	117743	200644	49546	237		1946544
1946553	Flavobacterium sp. UBA6135	2	976	117743	200644	49546	237		1946553
1946554	Flavobacterium sp. UBA6195	2	976	117743	200644	49546	237		1946554
1946555	Flavobacterium sp. UBA6203	2	976	117743	200644	49546	237		1946555
1946556	Flavobacterium sp. UBA6721	2	976	117743	200644	49546	237		1946556
1946557	Flavobacterium sp. UBA7663	2	976	117743	200644	49546	237		1946557
1946558	Flavobacterium sp. UBA7665	2	976	117743	200644	49546	237		1946558
