taxID	name	level	branch_length	source
1250006	Polaribacter sp. Hel_I_88	species	0	Phylogeny Only
1250059	Tenacibaculum sp. MAR_2009_124	species	0	Phylogeny Only
1250198	Tenacibaculum sp. MAR_2010_89	species	0	Phylogeny Only
1250232	Muricauda sp. MAR_2010_75	species	0	Phylogeny Only
1265740	Flavobacterium cutihirudinis	species	0	Phylogeny Only
1298868	Flavobacterium sp. URHB0058	species	0	Phylogeny Only
1299341	Flavobacterium urocaniciphilum	species	0	Phylogeny Only
1312072	Polaribacter sp. SA4-12	species	0	Phylogeny Only
1316596	Capnocytophaga sp. oral taxon 878	species	0	Phylogeny Only
1323422	Myroides indicus	species	0	Phylogeny Only
1336804	Polaribacter sp. Hel1_33_78	species	0	Phylogeny Only
1393049	Flavobacterium daemonense	species	0	Phylogeny Only
1423322	Flavobacterium sp. ABG	species	0	Phylogeny Only
1423323	Flavobacterium sp. AED	species	0	Phylogeny Only
1476463	Flavobacterium palustre	species	0	Phylogeny Only
1492737	Flavobacterium gilvum	species	0	Phylogeny Only
1492738	Flavobacterium seoulense	species	0	Phylogeny Only
1506583	Flavobacterium sp. ASV13	species	0	Phylogeny Only
1529069	Polaribacter sp. BM10	species	0	Phylogeny Only
1540163	Flavobacterium endophyticum	species	0	Phylogeny Only
1563479	Flavobacterium dauae	species	0	Phylogeny Only
1566289	Lutibacter sp. Hel_I_33_5	species	0	Phylogeny Only
1648146	Flavobacterium buctense	species	0	Phylogeny Only
1677894	Flavobacterium lutivivi	species	0	Phylogeny Only
1682742	Flavobacterium aquicola	species	0	Phylogeny Only
1685414	Flavobacterium tistrianum	species	0	Phylogeny Only
1729581	Flavobacterium sp. TAB 87	species	0	Phylogeny Only
1736485	Flavobacterium sp. Root186	species	0	Phylogeny Only
1736605	Flavobacterium sp. Root901	species	0	Phylogeny Only
1736610	Flavobacterium sp. Root935	species	0	Phylogeny Only
1756020	Flavobacterium orientale	species	0	Phylogeny Only
1767027	Flavobacterium suaedae	species	0	Phylogeny Only
1774945	Flavobacterium profundi	species	0	Phylogeny Only
1784713	Flavobacterium arcticum	species	0	Phylogeny Only
1848189	Muricauda sp. CP2A	species	0	Phylogeny Only
1848903	Capnocytophaga canis	species	0	Phylogeny Only
1852019	Flavobacterium solisilvae	species	0	Phylogeny Only
1855336	Polaribacter sp. KT25b	species	0	Phylogeny Only
